snapped_at,price,market_cap,total_volume
2013-09-09 00:00:00 UTC,130403.1659,1522329818795.7476,0.0
2013-09-10 00:00:00 UTC,131908.8145,1540523471901.15,0.0
2013-09-11 00:00:00 UTC,136191.9258,1591198365084.3,0.0
2013-09-12 00:00:00 UTC,136425.9105,1594658593808.3801,0.0
2013-09-13 00:00:00 UTC,137399.2043,1606742860358.4412,0.0
2013-09-14 00:00:00 UTC,134782.5699,1576878568108.7627,0.0
2013-09-15 00:00:00 UTC,135254.3957,1583051260351.3157,0.0
2013-09-16 00:00:00 UTC,135374.5896,1585029997966.86,0.0
2013-09-17 00:00:00 UTC,136423.7765,1597911231097.497,0.0
2013-09-18 00:00:00 UTC,136624.0803,1600756036834.95,0.0
2013-09-19 00:00:00 UTC,133462.1703,1564370155550.5256,0.0
2013-09-20 00:00:00 UTC,132115.1795,1549189200062.188,0.0
2013-09-21 00:00:00 UTC,132218.2415,1551005914651.975,0.0
2013-09-22 00:00:00 UTC,132310.1855,1552775798512.486,0.0
2013-09-23 00:00:00 UTC,131357.0807,1542312743663.0903,0.0
2013-09-24 00:00:00 UTC,131612.6859,1546008156305.3352,0.0
2013-09-25 00:00:00 UTC,132859.6466,1561349959127.8633,0.0
2013-09-26 00:00:00 UTC,132909.1538,1562503271693.8103,0.0
2013-09-27 00:00:00 UTC,132767.3509,1561430345362.085,0.0
2013-09-28 00:00:00 UTC,134103.9961,1577710045666.8577,0.0
2013-09-29 00:00:00 UTC,134578.8336,1583868386050.92,0.0
2013-09-30 00:00:00 UTC,132199.7603,1556414217963.96,0.0
2013-10-01 00:00:00 UTC,134872.4701,1588554927331.82,0.0
2013-10-02 00:00:00 UTC,107243.7695,1263591670851.0376,0.0
2013-10-03 00:00:00 UTC,125433.5363,1478607389811.1914,0.0
2013-10-04 00:00:00 UTC,130039.7268,1533473972329.98,0.0
2013-10-05 00:00:00 UTC,129758.8554,1530839828746.0193,0.0
2013-10-06 00:00:00 UTC,130415.4868,1539251605667.19,0.0
2013-10-07 00:00:00 UTC,132238.2292,1561277264961.26,0.0
2013-10-08 00:00:00 UTC,133391.304,1575417995892.0,0.0
2013-10-09 00:00:00 UTC,135349.185,1599147237562.3696,0.0
2013-10-10 00:00:00 UTC,134932.66,1594907414516.5,0.0
2013-10-11 00:00:00 UTC,134577.6068,1591302818544.3567,0.0
2013-10-12 00:00:00 UTC,135564.9136,1603624475957.12,0.0
2013-10-13 00:00:00 UTC,139749.0597,1653926627823.0076,0.0
2013-10-14 00:00:00 UTC,142573.3593,1688246790811.125,0.0
2013-10-15 00:00:00 UTC,148023.1668,1753719270979.68,0.0
2013-10-16 00:00:00 UTC,146560.2703,1737215524443.7468,0.0
2013-10-17 00:00:00 UTC,151792.5742,1799903217981.934,0.0
2013-10-18 00:00:00 UTC,158865.2435,1884439659716.7004,0.0
2013-10-19 00:00:00 UTC,169524.2624,2011833422387.1147,0.0
2013-10-20 00:00:00 UTC,172957.4856,2053511254466.003,0.0
2013-10-21 00:00:00 UTC,184914.612,2196406516115.0593,0.0
2013-10-22 00:00:00 UTC,194958.7693,2316924132397.7773,0.0
2013-10-23 00:00:00 UTC,212279.3232,2523889705690.0225,0.0
2013-10-24 00:00:00 UTC,194266.4941,2310741667371.27,0.0
2013-10-25 00:00:00 UTC,189074.2277,2250120388445.0825,0.0
2013-10-26 00:00:00 UTC,186899.8392,2225173415563.44,0.0
2013-10-27 00:00:00 UTC,197201.4829,2348709101635.58,0.0
2013-10-28 00:00:00 UTC,199413.3024,2375929732775.04,0.0
2013-10-29 00:00:00 UTC,210438.5252,2508111562596.2,0.0
2013-10-30 00:00:00 UTC,206387.0977,2460846240071.065,0.0
2013-10-31 00:00:00 UTC,210528.9375,2511383905767.1875,0.0
2013-11-01 00:00:00 UTC,210683.9611,2514244454191.31,0.0
2013-11-02 00:00:00 UTC,213280.9786,2546409591467.8623,0.0
2013-11-03 00:00:00 UTC,220481.3044,2633483819560.7983,0.0
2013-11-04 00:00:00 UTC,239291.5323,2859300501741.0073,0.0
2013-11-05 00:00:00 UTC,254048.2224,3036714616813.92,0.0
2013-11-06 00:00:00 UTC,269121.2406,3217997050123.528,0.0
2013-11-07 00:00:00 UTC,301002.538,3600328982589.7935,0.0
2013-11-08 00:00:00 UTC,344184.2798,4117984211578.424,0.0
2013-11-09 00:00:00 UTC,357874.8248,4283054850077.02,0.0
2013-11-10 00:00:00 UTC,332072.147,3975659063724.425,0.0
2013-11-11 00:00:00 UTC,356214.5071,4266407867363.233,0.0
2013-11-12 00:00:00 UTC,374419.4663,4486265963746.628,0.0
2013-11-13 00:00:00 UTC,421526.1568,5052549511145.024,0.0
2013-11-14 00:00:00 UTC,439305.1995,5267631768794.588,0.0
2013-11-15 00:00:00 UTC,435730.6721,5226534945505.487,0.0
2013-11-16 00:00:00 UTC,456106.3009,5473195791936.656,0.0
2013-11-17 00:00:00 UTC,506341.2956,6078399400094.98,0.0
2013-11-18 00:00:00 UTC,712640.933,8557837724353.838,0.0
2013-11-19 00:00:00 UTC,571946.6981,6870495412258.798,0.0
2013-11-20 00:00:00 UTC,605520.453,7276281936972.938,0.0
2013-11-21 00:00:00 UTC,738067.6557,8871813092955.436,0.0
2013-11-22 00:00:00 UTC,793284.9517,9537545981003.854,0.0
2013-11-23 00:00:00 UTC,824191.1244,9912237581738.64,0.0
2013-11-24 00:00:00 UTC,797261.0766,9591509176356.309,0.0
2013-11-25 00:00:00 UTC,826447.0107,9946475724612.428,0.0
2013-11-26 00:00:00 UTC,953738.0387,11482648333897.229,0.0
2013-11-27 00:00:00 UTC,1006225.3842,12118576037151.12,0.0
2013-11-28 00:00:00 UTC,1101464.4415,13270305908136.812,0.0
2013-11-29 00:00:00 UTC,1186778.7134,14304570196487.111,0.0
2013-11-30 00:00:00 UTC,1190447.3703,14353223943707.1,0.0
2013-12-01 00:00:00 UTC,1002063.0486,12086859440394.564,0.0
2013-12-02 00:00:00 UTC,1098565.7416,13255870985441.904,0.0
2013-12-03 00:00:00 UTC,1133108.072,13677719209410.2,0.0
2013-12-04 00:00:00 UTC,1217023.0825,14696223083882.875,0.0
2013-12-05 00:00:00 UTC,1104447.5592,13341505625624.16,0.0
2013-12-06 00:00:00 UTC,882526.1674,10665019848870.41,0.0
2013-12-07 00:00:00 UTC,734032.5979,8874399056618.16,0.0
2013-12-08 00:00:00 UTC,840969.0946,10170890472931.895,0.0
2013-12-09 00:00:00 UTC,946382.2083,11450609572521.61,0.0
2013-12-10 00:00:00 UTC,1042224.823,12615454036280.05,0.0
2013-12-11 00:00:00 UTC,929304.6273,11252531544893.416,0.0
2013-12-12 00:00:00 UTC,921213.2502,11158356705628.54,0.0
2013-12-13 00:00:00 UTC,945496.0111,11456551528834.986,0.0
2013-12-14 00:00:00 UTC,913664.541,11074984733731.5,0.0
2013-12-15 00:00:00 UTC,926042.9558,11229590450828.8,0.0
2013-12-16 00:00:00 UTC,749998.9498,9098312259918.78,0.0
2013-12-17 00:00:00 UTC,719158.9401,8727694918340.041,0.0
2013-12-18 00:00:00 UTC,549167.9522,6667599128847.057,0.0
2013-12-19 00:00:00 UTC,738402.8167,8969139033539.473,0.0
2013-12-20 00:00:00 UTC,660732.3565,8029120485858.664,0.0
2013-12-21 00:00:00 UTC,646581.5129,7859812541736.755,0.0
2013-12-22 00:00:00 UTC,655918.5638,7975887745735.354,0.0
2013-12-23 00:00:00 UTC,714430.612,8690387546387.311,0.0
2013-12-24 00:00:00 UTC,707660.8112,8611135198046.639,0.0
2013-12-25 00:00:00 UTC,728508.8571,8867883339378.314,0.0
2013-12-26 00:00:00 UTC,810974.9719,9875100312482.213,0.0
2013-12-27 00:00:00 UTC,788692.7447,9607421235462.875,67542483600.959404
2013-12-28 00:00:00 UTC,770451.4393,9388336013590.15,29325979880.373688
2013-12-29 00:00:00 UTC,785532.2406,9575186332145.98,29214896329.102345
2013-12-30 00:00:00 UTC,796334.4079,9707256707220.408,25881077675.150017
2013-12-31 00:00:00 UTC,797491.0888,9721356560640.34,23131317950.541344
2014-01-01 00:00:00 UTC,813399.0581,9915273513839.379,24843135897.26165
2014-01-02 00:00:00 UTC,850283.8299,10364896114918.596,18532495917.42744
2014-01-03 00:00:00 UTC,874983.5996,10665984455619.025,57420831848.197266
2014-01-04 00:00:00 UTC,906402.0722,11048973279428.87,38795618382.70173
2014-01-05 00:00:00 UTC,992133.1637,12094028855245.947,67351447731.77366
2014-01-06 00:00:00 UTC,1010538.886,12318393230463.148,95600272326.14494
2014-01-07 00:00:00 UTC,864407.3372,10571269530287.4,83949588122.32707
2014-01-08 00:00:00 UTC,916869.9105,11217353233021.2,85374487396.94048
2014-01-09 00:00:00 UTC,915956.4444,11210917598235.49,63132927771.75854
2014-01-10 00:00:00 UTC,939813.876,11507292555321.785,32401533973.952972
2014-01-11 00:00:00 UTC,987707.2503,12098895269868.592,52671649445.595604
2014-01-12 00:00:00 UTC,927027.4086,11360280554106.744,42930094799.25236
2014-01-13 00:00:00 UTC,908083.906,11132177901556.35,46378731217.48121
2014-01-14 00:00:00 UTC,902545.8724,11067807215276.39,25275592265.02543
2014-01-15 00:00:00 UTC,928557.3938,11391031400571.809,30864572643.80726
2014-01-16 00:00:00 UTC,900996.6646,11057256317137.35,20127434141.999355
2014-01-17 00:00:00 UTC,879415.7647,10795795869033.672,42478951183.0609
2014-01-18 00:00:00 UTC,895293.6809,10994698812976.494,19241033610.932655
2014-01-19 00:00:00 UTC,932089.8347,11446738934968.145,19543338420.608315
2014-01-20 00:00:00 UTC,926471.619,11381518545091.2,27098188931.220615
2014-01-21 00:00:00 UTC,932159.0987,11455978979002.861,28707224278.041317
2014-01-22 00:00:00 UTC,921874.9368,11333899222993.92,19054867094.193634
2014-01-23 00:00:00 UTC,915521.6803,11260413130225.367,19902330342.10377
2014-01-24 00:00:00 UTC,889385.3327,10942797021840.941,22199424080.2593
2014-01-25 00:00:00 UTC,931884.1966,11469956850642.361,36773969934.77602
